Période,Kalman_Smooth_1,Kalman_Smooth_2
1995-10-01,-5.819358766048836,-37.51143822403936
1995-11-01,-5.6744163612746314,-36.75764655691593
1995-12-01,-5.585328094911554,-36.389953334556644
1996-01-01,-5.462042632226622,-35.67629206464665
1996-02-01,-5.41246314153792,-35.28669954672108
1996-03-01,-5.120774696735403,-33.41519730464715
1996-04-01,-5.058736584794868,-33.032510358660254
1996-05-01,-4.986645895530493,-32.6554016099798
1996-06-01,-4.938819663330394,-32.264848762223814
1996-07-01,-4.947094674248899,-32.26026513033762
1996-08-01,-5.047476099066904,-33.038742480970534
1996-09-01,-4.919936140064313,-32.275309374624364
1996-10-01,-4.7362798368428765,-31.178048752649932
1996-11-01,-4.720727101361705,-31.18665772346431
1996-12-01,-4.596559744494511,-30.42135175106833
1997-01-01,-4.42600977028162,-29.31682834536287
1997-02-01,-4.405765002534612,-29.32804295288332
1997-03-01,-4.468674442980922,-29.658103939700073
1997-04-01,-4.453652593916981,-29.666428280672246
1997-05-01,-4.40942970366006,-29.326010351859114
1997-06-01,-4.342007539643887,-28.94631481398811
1997-07-01,-4.270923421706881,-28.568646337240793
1997-08-01,-4.134081905608778,-27.81036548106348
1997-09-01,-4.087321981774283,-27.419219784323005
1997-10-01,-4.079380385054362,-27.42361298631217
1997-11-01,-3.9205397364595553,-26.312606780186435
1997-12-01,-3.950955389748488,-26.712802005539064
1998-01-01,-4.001279167066781,-27.10196697852869
1998-02-01,-3.8709100517218133,-26.34010527804447
1998-03-01,-3.8745907175371057,-26.338059776372155
1998-04-01,-3.8084380930189945,-25.957664410771027
1998-05-01,-3.8025369794169124,-25.96093062513382
1998-06-01,-3.7374264493758793,-25.5799577615685
1998-07-01,-3.7308264943688125,-25.583613142770144
1998-08-01,-3.733266378601752,-25.582263050912385
1998-09-01,-3.7602156319200333,-25.984382832195166
1998-10-01,-3.7587968527145215,-25.985171072700293
1998-11-01,-3.7562978654965975,-25.98655395430939
1998-12-01,-3.684655077716015,-25.609202851763655
1999-01-01,-3.7351925979474645,-25.998245648052627
1999-02-01,-3.6342986985585295,-25.272182050215502
1999-03-01,-3.6513741104142943,-25.262712204303675
1999-04-01,-3.515844505702376,-24.503708142467232
1999-05-01,-3.5245557280701836,-24.498876971068043
1999-06-01,-3.535473569999398,-24.492824927706906
1999-07-01,-3.498695073025284,-24.09614997505965
1999-08-01,-3.4658078570344135,-23.697316726601766
1999-09-01,-3.3970294714304794,-23.318372717813386
1999-10-01,-3.35621429205866,-22.97606259007498
1999-11-01,-3.221059406786667,-22.216843240575145
1999-12-01,-3.060615536478658,-21.0545821734575
2000-01-01,-2.916985661585343,-19.935139345737497
2000-02-01,-2.9225429843713457,-19.98418337104282
2000-03-01,-2.830330822754486,-19.513968564391796
2000-04-01,-2.9157201932138728,-20.092227132201135
2000-05-01,-2.8795899524948374,-19.851586429502543
2000-06-01,-2.6791892791352154,-18.555077776137836
2000-07-01,-2.6010297058779512,-18.024929860796075
2000-08-01,-2.4746556258108874,-17.156578612981356
2000-09-01,-2.246982254236174,-15.666656268989222
2000-10-01,-2.259958612118186,-15.763712690404246
2000-11-01,-1.9978084754866443,-14.08437192703449
2000-12-01,-1.9387566240730172,-13.856436767428075
2001-01-01,-2.200675458179072,-15.535901112379646
2001-02-01,-2.110924536698955,-15.012193675346685
2001-03-01,-2.0300966343615605,-14.535657521178807
2001-04-01,-1.8539921849907202,-13.173545431965925
2001-05-01,-1.5754456948264808,-11.294753968273271
2001-06-01,-1.4642014363335099,-10.574412445240071
2001-07-01,-1.4178566799765375,-10.183036461704276
2001-08-01,-1.3729395778317555,-10.10366048663446
2001-09-01,-1.3490490560260642,-9.856237427440524
2001-10-01,-1.2527485269676002,-9.284021751700799
2001-11-01,-1.3007914589251628,-9.570181742828678
2001-12-01,-1.18266017878574,-8.697265296670652
2002-01-01,-0.903945124754731,-6.870705560924046
2002-02-01,-0.9229711903633917,-6.964413710047363
2002-03-01,-0.8547269615645615,-6.428777903885695
2002-04-01,-0.6987626035156509,-5.472567953106148
2002-05-01,-0.7013756272510051,-5.418981153806229
2002-06-01,-0.6289533400468037,-4.989922201216951
2002-07-01,-0.45172821192760576,-3.836963641460899
2002-08-01,-0.29666593829843,-3.036644034378512
2002-09-01,-0.23856114140257623,-2.6517811050163993
2002-10-01,-0.14242520894674324,-1.9230730588627394
2002-11-01,-0.017152191231046332,-1.1583772739539353
2002-12-01,0.1054269618032582,-0.2879211563519156
2003-01-01,0.38573344279812066,1.3292410863667596
2003-02-01,0.729088485851552,3.432777601368441
2003-03-01,0.7790747127755023,3.8742676442845814
2003-04-01,0.5801071077621968,2.629098101800464
2003-05-01,0.4427591546333489,1.7147064334306057
2003-06-01,0.6399908555006724,2.908702840007558
2003-07-01,0.7419622229458056,3.6341813134227197
2003-08-01,0.8443529543577374,4.411559922132505
2003-09-01,1.0514074001946236,5.80864942796231
2003-10-01,1.2070450841421985,6.7129187180745005
2003-11-01,1.3604260967957595,7.879091879156681
2003-12-01,1.4645511391619404,8.499112837093524
2004-01-01,1.583730862346374,9.162922452861155
2004-02-01,1.764235341221118,10.261931800564273
2004-03-01,1.8503156499921922,10.787686596364544
2004-04-01,1.8764248060953588,11.086016858332421
2004-05-01,2.032189433962573,12.198734554158445
2004-06-01,2.1382339810235034,12.869822519691075
2004-07-01,2.229166383054155,13.39288756231431
2004-08-01,2.291208629240954,13.931960487733448
2004-09-01,2.3760856176571776,14.301988612058882
2004-10-01,2.5750657349970245,15.495022926335738
2004-11-01,2.6842956719212383,16.268609618194883
2004-12-01,2.782510503669585,16.78763028488208
2005-01-01,2.590386286191016,15.486551474898446
2005-02-01,2.869456742117759,17.36504330220703
2005-03-01,3.077330919316042,18.918074619812483
2005-04-01,3.1106725915935316,18.89960510328843
2005-05-01,3.072702714675725,18.65999182910409
2005-06-01,3.2160814023918167,19.518912441489512
2005-07-01,3.3271138250309233,20.291501519502052
2005-08-01,3.4876432711230705,21.4015870867281
2005-09-01,3.7978470847922106,23.210699921024283
2005-10-01,3.7865610803546232,23.373355685834053
2005-11-01,3.722788222175594,22.835249608388633
2005-12-01,3.794863930799309,23.31662836212762
2006-01-01,3.9394715042484267,24.279135332585188
2006-02-01,4.047313080408212,25.10561966477899
2006-03-01,4.062204699455655,25.201639790143048
2006-04-01,4.178168157694978,26.127888249780426
2006-05-01,4.38001373476896,27.371466196413007
2006-06-01,4.403942223432872,27.566743923941697
2006-07-01,4.52416151135421,28.438500432698145
2006-08-01,4.645364607734377,29.205445156431868
2006-09-01,4.584022045068072,28.66599017560194
2006-10-01,4.4781968690449965,28.099053099120418
2006-11-01,4.582040816114275,28.77135346138397
2006-12-01,4.7144322520249915,29.58423235433529
2007-01-01,4.712769933951216,29.74155227383695
2007-02-01,4.703022835349374,29.64269435889248
2007-03-01,4.817400496957292,30.309161927914886
2007-04-01,4.969473336506896,31.528189269335595
2007-05-01,5.0370221651768174,31.907820319808415
2007-06-01,5.111649670665149,32.54418325104799
2007-07-01,5.214424682774215,33.21708305236078
2007-08-01,5.3843675521584915,34.21768472469824
2007-09-01,5.532759207885426,35.33449645378478
2007-10-01,5.7804896055900175,36.91758241889584
2007-11-01,6.1658845759946495,39.467011999864795
2007-12-01,6.345501795232699,40.72292187577752
2008-01-01,6.568466964440201,42.05905989882864
2008-02-01,6.550658245422333,41.9125505595624
2008-03-01,6.857428608371005,43.932088891500705
2008-04-01,6.948027778184744,44.559614994131806
2008-05-01,7.162803147652266,46.31735123705221
2008-06-01,7.392829090635882,48.01450683708898
2008-07-01,7.556506137831154,49.01857503628172
2008-08-01,7.4048453228695905,48.007859456265294
2008-09-01,7.486044395083524,48.536308105909875
2008-10-01,7.522697595201787,48.776647890071395
2008-11-01,7.185401877606465,46.77402078183088
2008-12-01,6.959134501233863,45.1790501901691
2009-01-01,6.954816145887469,45.28570073165607
2009-02-01,7.00967192517648,45.72448506883008
2009-03-01,6.892583061001882,45.05952808627678
2009-04-01,6.907812876779926,45.10321730753422
2009-05-01,6.921070018014929,45.200137688723956
2009-06-01,7.02168394328192,45.822095677153484
2009-07-01,7.034742676627081,45.86700095455999
2009-08-01,7.264495312964266,47.19937177705491
2009-09-01,7.25117455611783,47.1025009924789
2009-10-01,7.379063839036454,47.91787373614342
2009-11-01,7.495935988124808,48.635091602377
2009-12-01,7.5699961647100045,49.11537777275065
2010-01-01,7.742353600737876,50.218904019948766
2010-02-01,7.915408623921218,51.3741746631887
2010-03-01,7.988717681577299,51.75061413119248
2010-04-01,8.106994894773683,52.51918112051885
